Legislation Number,Number of Cosponsors
H.R. 8982,30
H.R. 8656,122
H.R. 8351,28
H.R. 7846,4
H.R. 7791,129
H.R. 7698,52
H.R. 7691,0
H.R. 7500,3
H.R. 7352,4
H.R. 7334,3
H.R. 7108,26
H.R. 6968,33
H.R. 6943,48
H.R. 6899,13
H.R. 6833,31
H.R. 6617,0
H.R. 6256,1
H.R. 6119,0
H.R. 6023,29
H.R. 5809,52
H.R. 5763,0
H.R. 5754,122
H.R. 5681,6
H.R. 5641,5
H.R. 5577,364
H.R. 5545,18
H.R. 5434,0
H.R. 5376,0
H.R. 5313,33
H.R. 5305,0
H.R. 5293,0
H.R. 5142,326
H.R. 5085,1
H.R. 4981,1
H.R. 4877,12
H.R. 4693,102
H.R. 4660,0
H.R. 4591,11
H.R. 4445,25
H.R. 4426,6
H.R. 4346,0
H.R. 4172,1
H.R. 4168,3
H.R. 3919,22
H.R. 3684,5
H.R. 3665,52
H.R. 3642,311
H.R. 3613,13
H.R. 3579,17
H.R. 3539,0
H.R. 3537,331
H.R. 3525,120
H.R. 3508,26
H.R. 3475,13
H.R. 3419,26
H.R. 3359,17
H.R. 3325,0
H.R. 3237,0
H.R. 3210,6
H.R. 3197,0
H.R. 3182,2
H.R. 3113,11
H.R. 3076,102
H.R. 2992,13
H.R. 2911,6
H.R. 2630,3
H.R. 2545,3
H.R. 2523,1
H.R. 2497,7
H.R. 2471,7
H.R. 2441,37
H.R. 2324,26
H.R. 2278,17
H.R. 2142,27
H.R. 2093,2
H.R. 2044,3
H.R. 1899,1
H.R. 1868,7
H.R. 1842,299
H.R. 1799,101
H.R. 1766,3
H.R. 1667,166
H.R. 1664,17
H.R. 1652,38
H.R. 1651,2
H.R. 1510,6
H.R. 1448,317
H.R. 1444,10
H.R. 1319,0
H.R. 1318,0
H.R. 1298,4
H.R. 1281,13
H.R. 1276,54
H.R. 1192,8
H.R. 1170,52
H.R. 1057,302
H.R. 1002,0
H.R. 960,15
H.R. 941,23
H.R. 772,7
H.R. 767,26
H.R. 735,52
H.R. 711,0
H.R. 468,1
H.R. 390,8
H.R. 335,0
H.R. 264,6
H.R. 208,3
H.R. 189,3
H.R. 92,6
H.R. 91,6
H.R. 55,181
H.R. 49,19
H.R. 26,1
H.J.Res. 75,0
H.J.Res. 27,1
S. 4900,1
S. 4791,0
S. 4785,1
S. 4458,3
S. 4205,2
S. 4160,1
S. 4119,12
S. 4089,0
S. 3969,4
S. 3895,6
S. 3823,3
S. 3706,5
S. 3580,30
S. 3527,1
S. 3522,21
S. 3470,1
S. 3451,2
S. 3377,8
S. 3373,2
S. 3294,20
S. 3157,5
S. 3103,9
S. 3059,7
