Legislation Number,Title,Sponsor,Date of Introduction
H.R. 8982,Bulk Infant Formula to Retail Shelves Act,"DelBene, Suzan K. [Rep.-D-WA-1]",09/26/2022
H.R. 8656,"To designate the clinic of the Department of Veterans Affairs in Mishawaka, Indiana, as the ""Jackie Walorski VA Clinic"".","Banks, Jim [Rep.-R-IN-3]",08/05/2022
H.R. 8351,Formula Act,"Blumenauer, Earl [Rep.-D-OR-3]",07/13/2022
H.R. 7846,Veterans' Compensation Cost-of-Living Adjustment Act of 2022,"Luria, Elaine G. [Rep.-D-VA-2]",05/19/2022
H.R. 7791,Access to Baby Formula Act of 2022,"Hayes, Jahana [Rep.-D-CT-5]",05/17/2022
H.R. 7698,"To designate the outpatient clinic of the Department of Veterans Affairs in Ventura, California, as the ""Captain Rosemary Bryant Mariner Outpatient Clinic"".","Brownley, Julia [Rep.-D-CA-26]",05/10/2022
H.R. 7691,"Additional Ukraine Supplemental Appropriations Act, 2022","DeLauro, Rosa L. [Rep.-D-CT-3]",05/10/2022
H.R. 7500,Fiscal Year 2022 Veterans Affairs Major Medical Facility Authorization Act,"Allred, Colin Z. [Rep.-D-TX-32]",04/14/2022
H.R. 7352,PPP and Bank Fraud Enforcement Harmonization Act of 2022,"Velazquez, Nydia M. [Rep.-D-NY-7]",03/31/2022
H.R. 7334,COVID-19 EIDL Fraud Statute of Limitations Act of 2022,"Luetkemeyer, Blaine [Rep.-R-MO-3]",03/31/2022
H.R. 7108,Suspending Normal Trade Relations with Russia and Belarus Act,"Neal, Richard E. [Rep.-D-MA-1]",03/17/2022
H.R. 6968,Ending Importation of Russian Oil Act,"Doggett, Lloyd [Rep.-D-TX-35]",03/08/2022
H.R. 6943,Public Safety Officer Support Act of 2022,"Trone, David J. [Rep.-D-MD-6]",03/07/2022
H.R. 6899,Russia and Belarus SDR Exchange Prohibition Act of 2022,"Hill, J. French [Rep.-R-AR-2]",03/02/2022
H.R. 6833,"Making continuing appropriations for fiscal year 2023, and for other purposes.","Craig, Angie [Rep.-D-MN-2]",02/25/2022
