Legislation Number,Congress
H.R. 8982,117th Congress (2021-2022)
H.R. 8656,117th Congress (2021-2022)
H.R. 8351,117th Congress (2021-2022)
H.R. 7846,117th Congress (2021-2022)
H.R. 7791,117th Congress (2021-2022)
H.R. 7698,117th Congress (2021-2022)
H.R. 7691,117th Congress (2021-2022)
H.R. 7500,117th Congress (2021-2022)
H.R. 7352,117th Congress (2021-2022)
H.R. 7334,117th Congress (2021-2022)
H.R. 7108,117th Congress (2021-2022)
H.R. 6968,117th Congress (2021-2022)
H.R. 6943,117th Congress (2021-2022)
H.R. 6899,117th Congress (2021-2022)
H.R. 6833,117th Congress (2021-2022)
H.R. 6617,117th Congress (2021-2022)
H.R. 6256,117th Congress (2021-2022)
H.R. 6119,117th Congress (2021-2022)
H.R. 6023,117th Congress (2021-2022)
H.R. 5809,117th Congress (2021-2022)
H.R. 5763,117th Congress (2021-2022)
H.R. 5754,117th Congress (2021-2022)
H.R. 5681,117th Congress (2021-2022)
H.R. 5641,117th Congress (2021-2022)
H.R. 5577,117th Congress (2021-2022)
H.R. 5545,117th Congress (2021-2022)
H.R. 5434,117th Congress (2021-2022)
H.R. 5376,117th Congress (2021-2022)
H.R. 5313,117th Congress (2021-2022)
H.R. 5305,117th Congress (2021-2022)
H.R. 5293,117th Congress (2021-2022)
H.R. 5142,117th Congress (2021-2022)
H.R. 5085,117th Congress (2021-2022)
H.R. 4981,117th Congress (2021-2022)
H.R. 4877,117th Congress (2021-2022)
H.R. 4693,117th Congress (2021-2022)
H.R. 4660,117th Congress (2021-2022)
H.R. 4591,117th Congress (2021-2022)
H.R. 4445,117th Congress (2021-2022)
H.R. 4426,117th Congress (2021-2022)
H.R. 4346,117th Congress (2021-2022)
H.R. 4172,117th Congress (2021-2022)
H.R. 4168,117th Congress (2021-2022)
H.R. 3919,117th Congress (2021-2022)
H.R. 3684,117th Congress (2021-2022)
H.R. 3665,117th Congress (2021-2022)
H.R. 3642,117th Congress (2021-2022)
H.R. 3613,117th Congress (2021-2022)
H.R. 3579,117th Congress (2021-2022)
H.R. 3539,117th Congress (2021-2022)
H.R. 3537,117th Congress (2021-2022)
H.R. 3525,117th Congress (2021-2022)
H.R. 3508,117th Congress (2021-2022)
H.R. 3475,117th Congress (2021-2022)
H.R. 3419,117th Congress (2021-2022)
H.R. 3359,117th Congress (2021-2022)
H.R. 3325,117th Congress (2021-2022)
H.R. 3237,117th Congress (2021-2022)
H.R. 3210,117th Congress (2021-2022)
H.R. 3197,117th Congress (2021-2022)
H.R. 3182,117th Congress (2021-2022)
H.R. 3113,117th Congress (2021-2022)
H.R. 3076,117th Congress (2021-2022)
H.R. 2992,117th Congress (2021-2022)
H.R. 2911,117th Congress (2021-2022)
H.R. 2630,117th Congress (2021-2022)
H.R. 2545,117th Congress (2021-2022)
H.R. 2523,117th Congress (2021-2022)
H.R. 2497,117th Congress (2021-2022)
H.R. 2471,117th Congress (2021-2022)
H.R. 2441,117th Congress (2021-2022)
H.R. 2324,117th Congress (2021-2022)
H.R. 2278,117th Congress (2021-2022)
H.R. 2142,117th Congress (2021-2022)
H.R. 2093,117th Congress (2021-2022)
H.R. 2044,117th Congress (2021-2022)
H.R. 1899,117th Congress (2021-2022)
H.R. 1868,117th Congress (2021-2022)
H.R. 1842,117th Congress (2021-2022)
H.R. 1799,117th Congress (2021-2022)
H.R. 1766,117th Congress (2021-2022)
H.R. 1667,117th Congress (2021-2022)
H.R. 1664,117th Congress (2021-2022)
H.R. 1652,117th Congress (2021-2022)
H.R. 1651,117th Congress (2021-2022)
H.R. 1510,117th Congress (2021-2022)
H.R. 1448,117th Congress (2021-2022)
H.R. 1444,117th Congress (2021-2022)
H.R. 1319,117th Congress (2021-2022)
H.R. 1318,117th Congress (2021-2022)
H.R. 1298,117th Congress (2021-2022)
H.R. 1281,117th Congress (2021-2022)
H.R. 1276,117th Congress (2021-2022)
H.R. 1192,117th Congress (2021-2022)
H.R. 1170,117th Congress (2021-2022)
H.R. 1057,117th Congress (2021-2022)
H.R. 1002,117th Congress (2021-2022)
H.R. 960,117th Congress (2021-2022)
H.R. 941,117th Congress (2021-2022)
H.R. 772,117th Congress (2021-2022)
H.R. 767,117th Congress (2021-2022)
H.R. 735,117th Congress (2021-2022)
H.R. 711,117th Congress (2021-2022)
H.R. 468,117th Congress (2021-2022)
H.R. 390,117th Congress (2021-2022)
H.R. 335,117th Congress (2021-2022)
H.R. 264,117th Congress (2021-2022)
H.R. 208,117th Congress (2021-2022)
H.R. 189,117th Congress (2021-2022)
H.R. 92,117th Congress (2021-2022)
H.R. 91,117th Congress (2021-2022)
H.R. 55,117th Congress (2021-2022)
H.R. 49,117th Congress (2021-2022)
H.R. 26,117th Congress (2021-2022)
H.J.Res. 75,117th Congress (2021-2022)
H.J.Res. 27,117th Congress (2021-2022)
S. 4900,117th Congress (2021-2022)
S. 4791,117th Congress (2021-2022)
S. 4785,117th Congress (2021-2022)
S. 4458,117th Congress (2021-2022)
S. 4205,117th Congress (2021-2022)
S. 4160,117th Congress (2021-2022)
S. 4119,117th Congress (2021-2022)
S. 4089,117th Congress (2021-2022)
S. 3969,117th Congress (2021-2022)
S. 3895,117th Congress (2021-2022)
S. 3823,117th Congress (2021-2022)
S. 3706,117th Congress (2021-2022)
S. 3580,117th Congress (2021-2022)
S. 3527,117th Congress (2021-2022)
S. 3522,117th Congress (2021-2022)
S. 3470,117th Congress (2021-2022)
S. 3451,117th Congress (2021-2022)
S. 3377,117th Congress (2021-2022)
S. 3373,117th Congress (2021-2022)
S. 3294,117th Congress (2021-2022)
S. 3157,117th Congress (2021-2022)
S. 3103,117th Congress (2021-2022)
S. 3059,117th Congress (2021-2022)
S. 2959,117th Congress (2021-2022)
S. 2938,117th Congress (2021-2022)
S. 2794,117th Congress (2021-2022)
S. 2771,117th Congress (2021-2022)
S. 2687,117th Congress (2021-2022)
S. 2629,117th Congress (2021-2022)
S. 2551,117th Congress (2021-2022)
S. 2533,117th Congress (2021-2022)
S. 2520,117th Congress (2021-2022)
S. 2514,117th Congress (2021-2022)
S. 2490,117th Congress (2021-2022)
S. 2293,117th Congress (2021-2022)
S. 2201,117th Congress (2021-2022)
S. 2126,117th Congress (2021-2022)
S. 2102,117th Congress (2021-2022)
S. 2089,117th Congress (2021-2022)
S. 1917,117th Congress (2021-2022)
S. 1910,117th Congress (2021-2022)
S. 1872,117th Congress (2021-2022)
S. 1828,117th Congress (2021-2022)
S. 1760,117th Congress (2021-2022)
S. 1662,117th Congress (2021-2022)
S. 1605,117th Congress (2021-2022)
S. 1543,117th Congress (2021-2022)
S. 1511,117th Congress (2021-2022)
S. 1502,117th Congress (2021-2022)
S. 1404,117th Congress (2021-2022)
S. 1340,117th Congress (2021-2022)
S. 1301,117th Congress (2021-2022)
S. 1226,117th Congress (2021-2022)
S. 1198,117th Congress (2021-2022)
S. 1098,117th Congress (2021-2022)
S. 1097,117th Congress (2021-2022)
S. 1095,117th Congress (2021-2022)
S. 1064,117th Congress (2021-2022)
S. 1031,117th Congress (2021-2022)
S. 958,117th Congress (2021-2022)
S. 957,117th Congress (2021-2022)
S. 937,117th Congress (2021-2022)
S. 921,117th Congress (2021-2022)
S. 894,117th Congress (2021-2022)
S. 854,117th Congress (2021-2022)
S. 848,117th Congress (2021-2022)
S. 812,117th Congress (2021-2022)
S. 796,117th Congress (2021-2022)
S. 658,117th Congress (2021-2022)
S. 610,117th Congress (2021-2022)
S. 583,117th Congress (2021-2022)
S. 579,117th Congress (2021-2022)
S. 578,117th Congress (2021-2022)
S. 566,117th Congress (2021-2022)
S. 516,117th Congress (2021-2022)
S. 497,117th Congress (2021-2022)
S. 475,117th Congress (2021-2022)
S. 452,117th Congress (2021-2022)
S. 442,117th Congress (2021-2022)
S. 422,117th Congress (2021-2022)
S. 415,117th Congress (2021-2022)
S. 409,117th Congress (2021-2022)
S. 400,117th Congress (2021-2022)
S. 325,117th Congress (2021-2022)
S. 321,117th Congress (2021-2022)
S. 272,117th Congress (2021-2022)
S. 270,117th Congress (2021-2022)
S. 233,117th Congress (2021-2022)
S. 189,117th Congress (2021-2022)
S. 169,117th Congress (2021-2022)
S. 164,117th Congress (2021-2022)
S. 144,117th Congress (2021-2022)
S. 108,117th Congress (2021-2022)
S. 66,117th Congress (2021-2022)
S.J.Res. 33,117th Congress (2021-2022)
S.J.Res. 15,117th Congress (2021-2022)
S.J.Res. 14,117th Congress (2021-2022)
S.J.Res. 13,117th Congress (2021-2022)
H.R. 8906,116th Congress (2019-2020)
H.R. 8900,116th Congress (2019-2020)
H.R. 8810,116th Congress (2019-2020)
H.R. 8611,116th Congress (2019-2020)
H.R. 8472,116th Congress (2019-2020)
H.R. 8354,116th Congress (2019-2020)
H.R. 8337,116th Congress (2019-2020)
H.R. 8276,116th Congress (2019-2020)
H.R. 8247,116th Congress (2019-2020)
H.R. 7898,116th Congress (2019-2020)
H.R. 7810,116th Congress (2019-2020)
H.R. 7502,116th Congress (2019-2020)
H.R. 7460,116th Congress (2019-2020)
H.R. 7440,116th Congress (2019-2020)
H.R. 7347,116th Congress (2019-2020)
H.R. 7259,116th Congress (2019-2020)
H.R. 7105,116th Congress (2019-2020)
H.R. 7088,116th Congress (2019-2020)
H.R. 7010,116th Congress (2019-2020)
H.R. 6535,116th Congress (2019-2020)
H.R. 6435,116th Congress (2019-2020)
H.R. 6418,116th Congress (2019-2020)
H.R. 6395,116th Congress (2019-2020)
H.R. 6322,116th Congress (2019-2020)
H.R. 6237,116th Congress (2019-2020)
H.R. 6201,116th Congress (2019-2020)
H.R. 6192,116th Congress (2019-2020)
H.R. 6168,116th Congress (2019-2020)
H.R. 6161,116th Congress (2019-2020)
H.R. 6100,116th Congress (2019-2020)
H.R. 6074,116th Congress (2019-2020)
H.R. 6016,116th Congress (2019-2020)
H.R. 5983,116th Congress (2019-2020)
H.R. 5972,116th Congress (2019-2020)
H.R. 5954,116th Congress (2019-2020)
H.R. 5901,116th Congress (2019-2020)
H.R. 5852,116th Congress (2019-2020)
H.R. 5671,116th Congress (2019-2020)
H.R. 5663,116th Congress (2019-2020)
H.R. 5597,116th Congress (2019-2020)
H.R. 5472,116th Congress (2019-2020)
H.R. 5459,116th Congress (2019-2020)
H.R. 5458,116th Congress (2019-2020)
H.R. 5451,116th Congress (2019-2020)
H.R. 5430,116th Congress (2019-2020)
H.R. 5384,116th Congress (2019-2020)
H.R. 5363,116th Congress (2019-2020)
H.R. 5317,116th Congress (2019-2020)
H.R. 5307,116th Congress (2019-2020)
H.R. 5277,116th Congress (2019-2020)
H.R. 5273,116th Congress (2019-2020)
H.R. 5214,116th Congress (2019-2020)
H.R. 5126,116th Congress (2019-2020)
H.R. 5123,116th Congress (2019-2020)
H.R. 5062,116th Congress (2019-2020)
H.R. 5037,116th Congress (2019-2020)
H.R. 5023,116th Congress (2019-2020)
H.R. 4998,116th Congress (2019-2020)
H.R. 4988,116th Congress (2019-2020)
H.R. 4983,116th Congress (2019-2020)
H.R. 4981,116th Congress (2019-2020)
H.R. 4975,116th Congress (2019-2020)
H.R. 4971,116th Congress (2019-2020)
H.R. 4920,116th Congress (2019-2020)
H.R. 4875,116th Congress (2019-2020)
H.R. 4803,116th Congress (2019-2020)
H.R. 4794,116th Congress (2019-2020)
H.R. 4785,116th Congress (2019-2020)
H.R. 4779,116th Congress (2019-2020)
H.R. 4771,116th Congress (2019-2020)
H.R. 4761,116th Congress (2019-2020)
H.R. 4734,116th Congress (2019-2020)
H.R. 4725,116th Congress (2019-2020)
H.R. 4704,116th Congress (2019-2020)
H.R. 4672,116th Congress (2019-2020)
H.R. 4566,116th Congress (2019-2020)
H.R. 4508,116th Congress (2019-2020)
H.R. 4378,116th Congress (2019-2020)
H.R. 4356,116th Congress (2019-2020)
H.R. 4334,116th Congress (2019-2020)
H.R. 4285,116th Congress (2019-2020)
H.R. 4279,116th Congress (2019-2020)
H.R. 4258,116th Congress (2019-2020)
H.R. 4200,116th Congress (2019-2020)
H.R. 4183,116th Congress (2019-2020)
H.R. 4104,116th Congress (2019-2020)
H.R. 4044,116th Congress (2019-2020)
H.R. 4034,116th Congress (2019-2020)
H.R. 4031,116th Congress (2019-2020)
H.R. 3976,116th Congress (2019-2020)
H.R. 3889,116th Congress (2019-2020)
H.R. 3877,116th Congress (2019-2020)
H.R. 3870,116th Congress (2019-2020)
H.R. 3847,116th Congress (2019-2020)
H.R. 3680,116th Congress (2019-2020)
H.R. 3589,116th Congress (2019-2020)
H.R. 3504,116th Congress (2019-2020)
H.R. 3465,116th Congress (2019-2020)
H.R. 3401,116th Congress (2019-2020)
H.R. 3399,116th Congress (2019-2020)
H.R. 3349,116th Congress (2019-2020)
H.R. 3329,116th Congress (2019-2020)
H.R. 3317,116th Congress (2019-2020)
H.R. 3314,116th Congress (2019-2020)
H.R. 3311,116th Congress (2019-2020)
H.R. 3305,116th Congress (2019-2020)
H.R. 3304,116th Congress (2019-2020)
H.R. 3275,116th Congress (2019-2020)
H.R. 3253,116th Congress (2019-2020)
H.R. 3250,116th Congress (2019-2020)
H.R. 3245,116th Congress (2019-2020)
H.R. 3207,116th Congress (2019-2020)
H.R. 3196,116th Congress (2019-2020)
H.R. 3153,116th Congress (2019-2020)
H.R. 3151,116th Congress (2019-2020)
H.R. 3144,116th Congress (2019-2020)
H.R. 3055,116th Congress (2019-2020)
H.R. 3005,116th Congress (2019-2020)
H.R. 2969,116th Congress (2019-2020)
H.R. 2940,116th Congress (2019-2020)
H.R. 2938,116th Congress (2019-2020)
H.R. 2744,116th Congress (2019-2020)
H.R. 2695,116th Congress (2019-2020)
H.R. 2502,116th Congress (2019-2020)
H.R. 2476,116th Congress (2019-2020)
H.R. 2468,116th Congress (2019-2020)
H.R. 2454,116th Congress (2019-2020)
H.R. 2451,116th Congress (2019-2020)
H.R. 2444,116th Congress (2019-2020)
H.R. 2423,116th Congress (2019-2020)
H.R. 2385,116th Congress (2019-2020)
H.R. 2379,116th Congress (2019-2020)
H.R. 2372,116th Congress (2019-2020)
H.R. 2359,116th Congress (2019-2020)
H.R. 2336,116th Congress (2019-2020)
H.R. 2334,116th Congress (2019-2020)
H.R. 2333,116th Congress (2019-2020)
H.R. 2325,116th Congress (2019-2020)
H.R. 2246,116th Congress (2019-2020)
H.R. 2196,116th Congress (2019-2020)
H.R. 2157,116th Congress (2019-2020)
H.R. 2151,116th Congress (2019-2020)
H.R. 2030,116th Congress (2019-2020)
H.R. 1972,116th Congress (2019-2020)
H.R. 1966,116th Congress (2019-2020)
H.R. 1957,116th Congress (2019-2020)
H.R. 1952,116th Congress (2019-2020)
H.R. 1925,116th Congress (2019-2020)
H.R. 1923,116th Congress (2019-2020)
H.R. 1865,116th Congress (2019-2020)
H.R. 1844,116th Congress (2019-2020)
H.R. 1839,116th Congress (2019-2020)
H.R. 1833,116th Congress (2019-2020)
H.R. 1830,116th Congress (2019-2020)
H.R. 1812,116th Congress (2019-2020)
H.R. 1773,116th Congress (2019-2020)
H.R. 1668,116th Congress (2019-2020)
H.R. 1590,116th Congress (2019-2020)
H.R. 1569,116th Congress (2019-2020)
H.R. 1526,116th Congress (2019-2020)
H.R. 1520,116th Congress (2019-2020)
H.R. 1503,116th Congress (2019-2020)
H.R. 1492,116th Congress (2019-2020)
H.R. 1472,116th Congress (2019-2020)
H.R. 1449,116th Congress (2019-2020)
H.R. 1424,116th Congress (2019-2020)
H.R. 1418,116th Congress (2019-2020)
H.R. 1396,116th Congress (2019-2020)
H.R. 1365,116th Congress (2019-2020)
H.R. 1327,116th Congress (2019-2020)
H.R. 1253,116th Congress (2019-2020)
H.R. 1252,116th Congress (2019-2020)
H.R. 1250,116th Congress (2019-2020)
H.R. 1240,116th Congress (2019-2020)
H.R. 1222,116th Congress (2019-2020)
H.R. 1200,116th Congress (2019-2020)
H.R. 1198,116th Congress (2019-2020)
H.R. 1158,116th Congress (2019-2020)
H.R. 1138,116th Congress (2019-2020)
H.R. 1123,116th Congress (2019-2020)
H.R. 1079,116th Congress (2019-2020)
H.R. 1058,116th Congress (2019-2020)
H.R. 991,116th Congress (2019-2020)
H.R. 943,116th Congress (2019-2020)
H.R. 887,116th Congress (2019-2020)
H.R. 886,116th Congress (2019-2020)
H.R. 866,116th Congress (2019-2020)
H.R. 835,116th Congress (2019-2020)
H.R. 831,116th Congress (2019-2020)
H.R. 829,116th Congress (2019-2020)
H.R. 828,116th Congress (2019-2020)
H.R. 777,116th Congress (2019-2020)
H.R. 776,116th Congress (2019-2020)
H.R. 748,116th Congress (2019-2020)
H.R. 724,116th Congress (2019-2020)
H.R. 639,116th Congress (2019-2020)
H.R. 583,116th Congress (2019-2020)
H.R. 561,116th Congress (2019-2020)
H.R. 559,116th Congress (2019-2020)
H.R. 540,116th Congress (2019-2020)
H.R. 504,116th Congress (2019-2020)
H.R. 473,116th Congress (2019-2020)
H.R. 439,116th Congress (2019-2020)
H.R. 434,116th Congress (2019-2020)
H.R. 430,116th Congress (2019-2020)
H.R. 299,116th Congress (2019-2020)
H.R. 276,116th Congress (2019-2020)
H.R. 266,116th Congress (2019-2020)
H.R. 263,116th Congress (2019-2020)
H.R. 259,116th Congress (2019-2020)
H.R. 251,116th Congress (2019-2020)
H.R. 221,116th Congress (2019-2020)
H.R. 150,116th Congress (2019-2020)
H.R. 133,116th Congress (2019-2020)
H.J.Res. 110,116th Congress (2019-2020)
H.J.Res. 107,116th Congress (2019-2020)
H.J.Res. 88,116th Congress (2019-2020)
H.J.Res. 87,116th Congress (2019-2020)
H.J.Res. 80,116th Congress (2019-2020)
H.J.Res. 60,116th Congress (2019-2020)
H.J.Res. 31,116th Congress (2019-2020)
H.J.Res. 28,116th Congress (2019-2020)
S. 5076,116th Congress (2019-2020)
S. 5036,116th Congress (2019-2020)
S. 4996,116th Congress (2019-2020)
S. 4902,116th Congress (2019-2020)
S. 4762,116th Congress (2019-2020)
S. 4684,116th Congress (2019-2020)
S. 4209,116th Congress (2019-2020)
S. 4148,116th Congress (2019-2020)
S. 4126,116th Congress (2019-2020)
S. 4116,116th Congress (2019-2020)
S. 4091,116th Congress (2019-2020)
S. 4075,116th Congress (2019-2020)
S. 4072,116th Congress (2019-2020)
S. 4054,116th Congress (2019-2020)
S. 3989,116th Congress (2019-2020)
S. 3758,116th Congress (2019-2020)
S. 3744,116th Congress (2019-2020)
S. 3703,116th Congress (2019-2020)
S. 3637,116th Congress (2019-2020)
S. 3607,116th Congress (2019-2020)
S. 3587,116th Congress (2019-2020)
S. 3503,116th Congress (2019-2020)
S. 3462,116th Congress (2019-2020)
S. 3461,116th Congress (2019-2020)
S. 3418,116th Congress (2019-2020)
S. 3414,116th Congress (2019-2020)
S. 3312,116th Congress (2019-2020)
S. 3257,116th Congress (2019-2020)
S. 3201,116th Congress (2019-2020)
S. 3147,116th Congress (2019-2020)
S. 3105,116th Congress (2019-2020)
S. 3084,116th Congress (2019-2020)
S. 3051,116th Congress (2019-2020)
S. 2981,116th Congress (2019-2020)
S. 2904,116th Congress (2019-2020)
S. 2746,116th Congress (2019-2020)
S. 2730,116th Congress (2019-2020)
S. 2710,116th Congress (2019-2020)
S. 2683,116th Congress (2019-2020)
S. 2661,116th Congress (2019-2020)
S. 2638,116th Congress (2019-2020)
S. 2472,116th Congress (2019-2020)
S. 2330,116th Congress (2019-2020)
S. 2258,116th Congress (2019-2020)
S. 2249,116th Congress (2019-2020)
S. 2216,116th Congress (2019-2020)
S. 2193,116th Congress (2019-2020)
S. 2174,116th Congress (2019-2020)
S. 2163,116th Congress (2019-2020)
S. 2107,116th Congress (2019-2020)
S. 2047,116th Congress (2019-2020)
S. 1982,116th Congress (2019-2020)
S. 1869,116th Congress (2019-2020)
S. 1838,116th Congress (2019-2020)
S. 1822,116th Congress (2019-2020)
S. 1790,116th Congress (2019-2020)
S. 1749,116th Congress (2019-2020)
S. 1694,116th Congress (2019-2020)
S. 1693,116th Congress (2019-2020)
S. 1689,116th Congress (2019-2020)
S. 1678,116th Congress (2019-2020)
S. 1646,116th Congress (2019-2020)
S. 1436,116th Congress (2019-2020)
S. 1380,116th Congress (2019-2020)
S. 1379,116th Congress (2019-2020)
S. 1342,116th Congress (2019-2020)
S. 1321,116th Congress (2019-2020)
S. 1310,116th Congress (2019-2020)
S. 1196,116th Congress (2019-2020)
S. 1153,116th Congress (2019-2020)
S. 1130,116th Congress (2019-2020)
S. 1069,116th Congress (2019-2020)
S. 1014,116th Congress (2019-2020)
S. 998,116th Congress (2019-2020)
S. 982,116th Congress (2019-2020)
S. 979,116th Congress (2019-2020)
S. 945,116th Congress (2019-2020)
S. 914,116th Congress (2019-2020)
S. 910,116th Congress (2019-2020)
S. 900,116th Congress (2019-2020)
S. 893,116th Congress (2019-2020)
S. 881,116th Congress (2019-2020)
S. 863,116th Congress (2019-2020)
S. 862,116th Congress (2019-2020)
S. 832,116th Congress (2019-2020)
S. 785,116th Congress (2019-2020)
S. 760,116th Congress (2019-2020)
S. 744,116th Congress (2019-2020)
S. 743,116th Congress (2019-2020)
S. 737,116th Congress (2019-2020)
S. 725,116th Congress (2019-2020)
S. 693,116th Congress (2019-2020)
S. 578,116th Congress (2019-2020)
S. 504,116th Congress (2019-2020)
S. 490,116th Congress (2019-2020)
S. 483,116th Congress (2019-2020)
S. 461,116th Congress (2019-2020)
S. 457,116th Congress (2019-2020)
S. 394,116th Congress (2019-2020)
S. 375,116th Congress (2019-2020)
S. 371,116th Congress (2019-2020)
S. 327,116th Congress (2019-2020)
S. 294,116th Congress (2019-2020)
S. 256,116th Congress (2019-2020)
S. 252,116th Congress (2019-2020)
S. 239,116th Congress (2019-2020)
S. 227,116th Congress (2019-2020)
S. 216,116th Congress (2019-2020)
S. 212,116th Congress (2019-2020)
S. 209,116th Congress (2019-2020)
S. 199,116th Congress (2019-2020)
S. 163,116th Congress (2019-2020)
S. 153,116th Congress (2019-2020)
S. 151,116th Congress (2019-2020)
S. 134,116th Congress (2019-2020)
S. 50,116th Congress (2019-2020)
S. 49,116th Congress (2019-2020)
S. 47,116th Congress (2019-2020)
S. 24,116th Congress (2019-2020)
S.J.Res. 67,116th Congress (2019-2020)
S.J.Res. 66,116th Congress (2019-2020)
S.J.Res. 65,116th Congress (2019-2020)
H.R. 7327,115th Congress (2017-2018)
H.R. 7319,115th Congress (2017-2018)
H.R. 7318,115th Congress (2017-2018)
H.R. 7279,115th Congress (2017-2018)
H.R. 7243,115th Congress (2017-2018)
H.R. 7230,115th Congress (2017-2018)
H.R. 7213,115th Congress (2017-2018)
H.R. 7187,115th Congress (2017-2018)
